handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,customTextField1,customTextCharLimit1,customTextMandatory1
cc8bacdf-3d29-418c-ab15-2096b37e45a2,Product,ברז - TPAD1,Model: רטרו<br>Description: רטרו ברז קיר עם פיית מילוי<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD1.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD1A.jpg,סניטריה;ברזים (ק.מ);ברז (ת.ק);מקלחות וחדרי שירותים (מתחם);רטרו (מודל),589_TPAD1,,846,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f276bdff-eb31-42de-8b9f-ecff6d950add,Product,סוללה לאמבטיה - TPAD2,Model: רטרו<br>Description: רטרו סוללה לאמבטיה<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD2.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD2A.jpg,סניטריה;ברזים (ק.מ);סוללה לאמבטיה (ת.ק);מקלחות וחדרי שירותים (מתחם);רטרו (מודל),590_TPAD2,,1089,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6d1e0abd-f10e-4384-9740-d209d8231fb2,Product,ראש מקלחת - TPAD3,Model: רטרו<br>Description: רטרו זרוע וראש למקלחת<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD3.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD3A.jpg,סניטריה;ברזים (ק.מ);ראש מקלחת (ת.ק);מקלחות וחדרי שירותים (מתחם);רטרו (מודל),591_TPAD3,,724,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5824a3e5-8a0f-46ac-b079-6ab5d0f1bffb,Product,מזלף - TPAD4,Model: רטרו<br>Description: רטרו מזלף מעוצב<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD4.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD4A.jpg,סניטריה;ברזים (ק.מ);מזלף (ת.ק);מקלחות וחדרי שירותים (מתחם);רטרו (מודל),592_TPAD4,,298,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90a006f9-2781-41c2-945d-ba6e21a0b389,Product,ברז - TPAD5,Model: רטרו<br>Description: רטרו ברז פרח נמוך<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD5.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD5A.jpg,סניטריה;ברזים (ק.מ);ברז (ת.ק);מקלחות וחדרי שירותים (מתחם);רטרו (מודל),593_TPAD5,,602,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9470d75c-62c8-40b8-bd55-4212ee953b6a,Product,ברז - TPAD6,Model: רטרו<br>Description: רטרו ברז פרח גבוה<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD6.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD6A.jpg,סניטריה;ברזים (ק.מ);ברז (ת.ק);מקלחות וחדרי שירותים (מתחם);רטרו (מודל),594_TPAD6,,846,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7b54a26-183c-458e-babc-8115333332de,Product,סט - TPAD7,Model: רטרו<br>Description: רטרו סט מדופן 3 חלקים<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD7.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD7A.jpg,סניטריה;ברזים (ק.מ);סט (ת.ק);מקלחות וחדרי שירותים (מתחם);רטרו (מודל),595_TPAD7,,1211,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf6d30f6-c396-43a6-8a9a-7b2efd8c5f52,Product,סט - TPAD8,Model: רטרו<br>Description: רטרו סט מדופן 4 חלקים<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD8.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD8A.jpg,סניטריה;ברזים (ק.מ);סט (ת.ק);מקלחות וחדרי שירותים (מתחם);רטרו (מודל),596_TPAD8,,1515,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9aac8dbf-58de-4380-8055-6e9fac82e6e3,Product,אינטרפוץ 3 דרך - TPAD9,Model: רטרו<br>Description: רטרו 3 דרך<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD9.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD9A.jpg,סניטריה;ברזים (ק.מ);אינטרפוץ 3 דרך (ת.ק);מקלחות וחדרי שירותים (מתחם);רטרו (מודל),597_TPAD9,,481,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b071867-ec41-41c6-ba69-4cb5ee8dfefd,Product,אינטרפוץ 4 דרך - TPAD10,Model: רטרו<br>Description: רטרו 4 דרך<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD10.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPAD10A.jpg,סניטריה;ברזים (ק.מ);אינטרפוץ 4 דרך (ת.ק);מקלחות וחדרי שירותים (מתחם);רטרו (מודל),598_TPAD10,,602,,TRUE,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
