No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
624,סלון,כסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,121,G03,,ARMBT440,2,ARMBT440,,,half chinese leather+S/S ,כסא - ARMBT440,,,46*52*100,0.182,,,,,,,,,,102.7913333,1.5,,,,,,,,154.187,3.5,,,360,17%,421,2.5,1052,,,,2.2,926,,505,54.5%,,,,
625,סלון,כסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,121,G03,,ARMBT440,3,ARMBT440,,,half italy leather+S/S,כסא - ARMBT440,,,46*52*100,0.182,,,,,,,,,,105.7913333,1.5,,,,,,,,158.687,3.5,,,370,17%,433,2.5,1083,,,,2.2,953,,520,54.5%,,,,
626,סלון,כסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,121,G04,,ARMBT441,1,ARMBT441,,,PU+S/S ,כסא - ARMBT441,,,46*50*97,0.091,,,,,,,,,,70.39566667,1.5,,,,,,,,105.5935,3.5,,,246,17%,288,2.5,721,,,,2.2,634,,346,54.5%,,,,
627,סלון,כסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,121,G04,,ARMBT441,2,ARMBT441,,,half chinese leather+S/S ,כסא - ARMBT441,,,46*50*97,0.091,,,,,,,,,,92.89566667,1.5,,,,,,,,139.3435,3.5,,,325,17%,380,2.5,951,,,,2.2,837,,456,54.5%,,,,
628,סלון,כסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,121,G04,,ARMBT441,3,ARMBT441,,,half italy leather+S/S,כסא - ARMBT441,,,46*50*97,0.091,,,,,,,,,,95.89566667,1.5,,,,,,,,143.8435,3.5,,,336,17%,393,2.5,982,,,,2.2,864,,471,54.5%,,,,
629,סלון,כסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,122,G01,,ARMBT442,1,ARMBT442,,,PU+S/S ,כסא - ARMBT442,,,44*50*96,0.178,,,,,,,,,,81.71533333,1.5,,,,,,,,122.573,3.5,,,286,17%,335,2.5,837,,,,2.2,736,,402,54.5%,,,,
630,סלון,כסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,122,G01,,ARMBT442,2,ARMBT442,,,half chinese leather+S/S ,כסא - ARMBT442,,,44*50*96,0.178,,,,,,,,,,118.0486667,1.5,,,,,,,,177.073,3.5,,,413,17%,483,2.5,1209,,,,2.2,1064,,580,54.5%,,,,
631,סלון,כסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,122,G01,,ARMBT442,3,ARMBT442,,,half italy leather+S/S,כסא - ARMBT442,,,44*50*96,0.178,,,,,,,,,,121.7153333,1.5,,,,,,,,182.573,3.5,,,426,17%,498,2.5,1246,,,,2.2,1097,,598,54.5%,,,,
632,סלון,כסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,122,G02,,ARMBT443,1,ARMBT443,,,PU+S/S ,כסא - ARMBT443,,,44*55*90,0.166,,,,,,,,,,69.82066667,1.5,,,,,,,,104.731,3.5,,,244,17%,286,2.5,715,,,,2.2,629,,343,54.5%,,,,
633,סלון,כסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,122,G02,,ARMBT443,2,ARMBT443,,,half chinese leather+S/S ,כסא - ARMBT443,,,44*55*90,0.166,,,,,,,,,,97.32066667,1.5,,,,,,,,145.981,3.5,,,341,17%,399,2.5,996,,,,2.2,877,,478,54.5%,,,,
