No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
144,סלון,סט פינת ישיבה,OTTOMAN,,,,,,STEEL-ARTS,SA,,,,,52,SJ1714A,S-SOSA169,SOSA171,,SOSA169,,,,סט פינת ישיבה - SOSA171,OTTOMAN,,,,,,,,,,,205 ימי עבודה בכפוף להבהרות,,,1.5,,,,,,,,0,3.5,,,0,17%,0,2.5,0,,,,2.2,0,,0,#DIV/0!,,,,
145,סלון,סט פינת ישיבה,COFFEE TABLE,,,,,,STEEL-ARTS,SA,,,,,52,ST1714A,S-SOSA169,SOSA172,,SOSA169,,,,סט פינת ישיבה - SOSA172,COFFEE TABLE,,,,,,,,,,,206 ימי עבודה בכפוף להבהרות,,,1.5,,,,,,,,0,3.5,,,0,17%,0,2.5,0,,,,2.2,0,,0,#DIV/0!,,,,
146,סלון,סט פינת ישיבה,LEISURE CHAIR,,,,,,STEEL-ARTS,SA,,,,,53,SF8697G,,SOSA173,,SOSA173,,,FEATHER SOFA,סט פינת ישיבה - SOSA173,LEISURE CHAIR,,200X105X80,1.68,,,,,,,,207 ימי עבודה בכפוף להבהרות,,273,1.5,,,,,,,,409.5,3.5,,,956,17%,1118,2.5,2795,,,,2.2,2459,,1342,54.5%,,,,
147,סלון,סט פינת ישיבה,3 SEATER SOFA/COUCH,,,,,,STEEL-ARTS,SA,,,,,55,SF8208L3,S-SOSA192,SOSA192,,SOSA192,,,FEATHER SOFA,סט פינת ישיבה - SOSA192,3 SEATER SOFA/COUCH,,240X95X75/140X100X75,1.71,,,,,,,,208 ימי עבודה בכפוף להבהרות,,853,1.5,,,,,,,,1279.5,3.5,,,2986,17%,3493,2.5,8733,,,,2.2,7685,,4192,54.5%,,,,
148,סלון,סט פינת ישיבה,COFFEE TABLE,,,,,,STEEL-ARTS,SA,,,,,55,G107A,S-SOSA192,SOSA193,,SOSA192,,,MDF,סט פינת ישיבה - SOSA193,COFFEE TABLE,,85X85X32,0.2312,,,,,,,,209 ימי עבודה בכפוף להבהרות,,81,1.5,,,,,,,,121.5,3.5,,,284,17%,332,2.5,829,,,,2.2,730,,398,54.5%,,,,
149,סלון,סט פינת ישיבה,LEISURE CHAIR,,,,,,STEEL-ARTS,SA,,,,,55,SC8204,S-SOSA192,SOSA194,,SOSA192,,,FABRIC,סט פינת ישיבה - SOSA194,LEISURE CHAIR,,78X92X106,0.760656,,,,,,,,210 ימי עבודה בכפוף להבהרות,,207,1.5,,,,,,,,310.5,3.5,,,725,17%,848,2.5,2119,,,,2.2,1865,,1017,54.5%,,,,
150,סלון,סט פינת ישיבה,SIDEBOARD,,,,,,STEEL-ARTS,SA,,,,,55,K4803,S-SOSA192,SOSA195,,SOSA192,,,MDF,סט פינת ישיבה - SOSA195,SIDEBOARD,,180X46X80,0.6624,,,,,,,,211 ימי עבודה בכפוף להבהרות,,255,1.5,,,,,,,,382.5,3.5,,,893,17%,1044,2.5,2611,,,,2.2,2297,,1253,54.5%,,,,
151,סלון,סט פינת ישיבה,3 SEATER SOFA/COUCH,,,,,,STEEL-ARTS,SA,,,,,57,SF8676L5,S-SOSA196,SOSA196,,SOSA196,SOSA196A,,LEATHER,סט פינת ישיבה - SOSA196,3 SEATER SOFA/COUCH,,208X96X68/208X96X68,1.357824,,,,,,,,212 ימי עבודה בכפוף להבהרות,,2725,1.5,,,,,,,,4087.5,3.5,,,9538,17%,11159,2.5,27897,,,,2.2,24550,,13391,54.5%,,,,
152,סלון,סט פינת ישיבה,COFFEE TABLE,,,,,,STEEL-ARTS,SA,,,,,57,ST02A,S-SOSA196,SOSA197,1,SOSA196,SOSA196A,,MABRLE+SOLID WOOD,סט פינת ישיבה - SOSA1971,COFFEE TABLE,,127X127X35,0.564515,,,,,,,,213 ימי עבודה בכפוף להבהרות,,316,1.5,,,,,,,,474,3.5,,,1106,17%,1294,2.5,3235,,,,2.2,2847,,1553,54.5%,,,,
153,סלון,סט פינת ישיבה,COFFEE TABLE,,,,,,STEEL-ARTS,SA,,,,,57,ST02C,S-SOSA196,SOSA198,2,SOSA196,SOSA196A,,MARBLE+SOLID WOOD,סט פינת ישיבה - SOSA1982,COFFEE TABLE,,47X47X46,0.101614,,,,,,,,214 ימי עבודה בכפוף להבהרות,,172,1.5,,,,,,,,258,3.5,,,602,17%,704,2.5,1761,,,,2.2,1550,,845,54.5%,,,,
