No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
590,ריהוט גן,,,,2 seater,,,,Yong Ge,YG,,,,,217,WA1034,S-GFYG492,GFYG492,2,GFYG492,,,1500 hours,2 seater - GFYG492,2 seater,,127×81×62,,,,,,,,,60 ימי עבודה בכפוף להבהרות,,2127,,,,,,,,,,3.5,,,7445,17%,8710,3,26130,2.5,21775,,2.2,19162,,10452,120.0%,,,,
591,ריהוט גן,,,,2 seater,,,,Yong Ge,YG,,,,,217,WA1034,S-GFYG492,GFYG492,3,GFYG492,,,sunbrella fabric,2 seater - GFYG492,2 seater,,127×81×62,,,,,,,,,60 ימי עבודה בכפוף להבהרות,,2647,,,,,,,,,,3.5,,,9265,17%,10839,3,32518,2.5,27099,,2.2,23847,,13007,120.0%,,,,
592,ריהוט גן,,,,Coffee table,,,,Yong Ge,YG,,,,,217,WA2037m,S-GFYG492,GFYG493,1,GFYG492,,,frosted glass top,Coffee table - GFYG493,Coffee table,,60×60×39,0.14,,,,,,,,60 ימי עבודה בכפוף להבהרות,,480,,,,,,,,,,3.5,,,1680,17%,1966,3,5897,2.5,4914,,2.2,4324,,2359,120.0%,,,,
593,ריהוט גן,,,,Coffee table,,,,Yong Ge,YG,,,,,217,WA2037m,S-GFYG492,GFYG493,2,GFYG492,,,teak top,Coffee table - GFYG493,Coffee table,,60×60×39,,,,,,,,,60 ימי עבודה בכפוף להבהרות,,647,,,,,,,,,,3.5,,,2265,17%,2649,3,7948,2.5,6624,,2.2,5829,,3179,120.0%,,,,
594,ריהוט גן,,,,Chair,,,,Yong Ge,YG,,,,,218,WA5018,S-GFYG494,GFYG494,1,GFYG494,,,1000 hours,Chair - GFYG494,Chair,,55×63×69,0.14,,,,,,,,60 ימי עבודה בכפוף להבהרות,,720,,,,,,,,,,3.5,,,2520,17%,2948,3,8845,2.5,7371,,2.2,6486,,3538,120.0%,,,,
595,ריהוט גן,,,,Chair,,,,Yong Ge,YG,,,,,218,WA5018,S-GFYG494,GFYG494,2,GFYG494,,,1500 hours,Chair - GFYG494,Chair,,55×63×69,,,,,,,,,60 ימי עבודה בכפוף להבהרות,,767,,,,,,,,,,3.5,,,2685,17%,3141,3,9423,2.5,7852,,2.2,6910,,3769,120.0%,,,,
596,ריהוט גן,,,,Chair,,,,Yong Ge,YG,,,,,218,WA5018,S-GFYG494,GFYG494,3,GFYG494,,,sunbrella fabric,Chair - GFYG494,Chair,,55×63×69,,,,,,,,,60 ימי עבודה בכפוף להבהרות,,887,,,,,,,,,,3.5,,,3105,17%,3632,3,10897,2.5,9081,,2.2,7991,,4359,120.0%,,,,
597,ריהוט גן,,,,Dining table,,,,Yong Ge,YG,,,,,218,WA4034p,S-GFYG494,GFYG495,1,GFYG494,,,frosted glass top,Dining table - GFYG495,Dining table,,240×100×75,0.54,,,,,,,,60 ימי עבודה בכפוף להבהרות,,1820,,,,,,,,,,3.5,,,6370,17%,7453,3,22359,2.5,18632,,2.2,16396,,8943,120.0%,,,,
598,ריהוט גן,,,,Dining table,,,,Yong Ge,YG,,,,,218,WA4034p,S-GFYG494,GFYG495,2,GFYG494,,,teak top,Dining table - GFYG495,Dining table,,240×100×75,,,,,,,,,60 ימי עבודה בכפוף להבהרות,,2913,,,,,,,,,,3.5,,,10196,17%,11929,3,35786,2.5,29822,,2.2,26243,,14314,120.0%,,,,
599,ריהוט גן,,,,Chair,,,,Yong Ge,YG,,,,,220,WA5019,S-GFYG496,GFYG496,1,GFYG496,,,1000 hours,Chair - GFYG496,Chair,,55×61×79,0.1,,,,,,,,60 ימי עבודה בכפוף להבהרות,,420,,,,,,,,,,3.5,,,1470,17%,1720,3,5160,2.5,4300,,2.2,3784,,2064,120.0%,,,,
