No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
1,סניטריה,אמבטיות,Free Standing Bathtub,,,מקלחות וחדרי שירותים,ארונות מקלחות,,ADAR,AD,ADAR,,CORIAN BATH,,,TCS03B,,BTAD1,,BTAD1,BTAD1A,,CORIAN,Free Standing Bathtub - BTAD1,Free Standing CORIAN BATH ,,1645*725*620,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,"18,550",70%,5565,17%,6511,2,13022,1.7,11069,17890,1.5,9767,,3256,50.0%,,,,
2,סניטריה,אמבטיות,Free Standing Bathtub,,,מקלחות וחדרי שירותים,ארונות מקלחות,,ADAR,AD,ADAR,,CORIAN BATH,,,TCS102,,BTAD2,,BTAD2,,,CORIAN,Free Standing Bathtub - BTAD2,Free Standing CORIAN BATH ,,1790*785*750,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,"23,800",70%,7140,17%,8354,2,16708,1.7,14201,17890,1.5,12531,,4177,50.0%,,,,
3,סניטריה,אמבטיות,Free Standing Bathtub,,,מקלחות וחדרי שירותים,ארונות מקלחות,,ADAR,AD,ADAR,,CORIAN BATH,,,TCS101,,BTAD3,,BTAD3,BTAD3A,,CORIAN,Free Standing Bathtub - BTAD3,Free Standing CORIAN BATH ,,1695*880*700,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,"23,800",70%,7140,17%,8354,2,16708,1.7,14201,17890,1.5,12531,,4177,50.0%,,,,
4,סניטריה,אמבטיות,Free Standing Bathtub,,,מקלחות וחדרי שירותים,ארונות מקלחות,,ADAR,AD,ADAR,,CORIAN BATH,,,TCS06B,,BTAD4,,BTAD4,"BTAD4A, BTAD4B, BTAD4C, BTAD4D, BTAD4E, BTAD4F, BTAD4G, BTAD4H, BTAD4I",,CORIAN,Free Standing Bathtub - BTAD4,Free Standing CORIAN BATH ,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,70%,0,17%,0,2,0,1.7,0,17890,1.5,0,,0,#DIV/0!,,,,
