No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
60,ריהוט,פינת ישיבה,שולחן קפה,,שולחן קפה,סלון,,,ROBINS,RB,,,,,,דגם 063,,CHRB1X,,CHRB1,,,זכוכית בשילוב ניקל ,שולחן קפה - CHRB1X,שולחן סלון מלבני,,38*162,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,0,,,,,,,,,,3.5,,,1600,17%,1872,1.75,3276,1.5,2808,,1.25,2340,,468,25.0%,,,,
61,ריהוט,פינת ישיבה,שולחן קפה,,שולחן קפה,סלון,,,ROBINS,RB,,,,,,דגם 158 ,,CHRB2X,,CHRB2,,,,שולחן קפה - CHRB2X,שולחן סלון זכוכית ,,"130x70x45 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1450,17%,1697,1.75,2969,1.5,2545,,1.25,2121,,424,25.0%,,,,
62,ריהוט,פינת ישיבה,שולחן קפה,,שולחן קפה,סלון,,,ROBINS,RB,,,,,,דגם 159 ,,CHRB3X,,CHRB3,,,,שולחן קפה - CHRB3X,שולחן סלון זכוכית ,,"110×110 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1600,17%,1872,1.75,3276,1.5,2808,,1.25,2340,,468,25.0%,,,,
63,ריהוט,פינת ישיבה,שולחן קפה,,שולחן קפה,סלון,,,ROBINS,RB,,,,,,דגם 393 ,,CHRB4X,,CHRB4,,,זכוכית בשילוב ניקל ,שולחן קפה - CHRB4X,שולחן סלון עגול מעוצב,,קוטר- 100 גובה- 43,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1450,17%,1697,1.75,2969,1.5,2545,,1.25,2121,,424,25.0%,,,,
64,ריהוט,פינת ישיבה,שולחן קפה,,שולחן קפה,סלון,,,ROBINS,RB,,,,,,דגם 405,,CHRB5X,,CHRB5,,,זכוכית בשילוב מסגרת ניקל ,שולחן קפה - CHRB5X,שולחן סלון עגול ,,"קוטר: 100 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1600,17%,1872,1.75,3276,1.5,2808,,1.25,2340,,468,25.0%,,,,
