No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
11,פינות אוכל,MIRROR,,,,,,,STEEL-ARTS,SA,,,,,6,M6803,S-SDTSA10,SDTSA11,,SDTSA10,,,MIRROR,MIRROR - SDTSA11,,,Ø800/Ø600,,,,,,,,,,,129,1.5,,,,,,,,193.5,3.5,,,452,17%,528,2.5,1321,,,,2.2,1162,,634,54.5%,,,,
12,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,6,B5810/DINING TABLE,S-SDTSA12,SDTSA12,,SDTSA12,,,"MDF IN WOOD VENEER, IRON COATING FRAME",DINING TABLE - SDTSA12,,,1PC/2CTNS,0.27/MOQ:10PCS,,,,,,,,,,197,1.5,,,,,,,,295.5,3.5,,,690,17%,807,2.5,2017,,,,2.2,1775,,968,54.5%,,,,
13,פינות אוכל,DINING CHAIR,,,,,,,STEEL-ARTS,SA,,,,,6,C5810/DINING CHAIR,S-SDTSA12,SDTSA13,,SDTSA12,,,"PU, SOLID WOOD",DINING CHAIR - SDTSA13,,,2PCS/1CTN,0.362/MOQ:100PCS,,,,,,,,,,77.5,1.5,,,,,,,,116.25,3.5,,,271,17%,317,2.5,793,,,,2.2,698,,381,54.5%,,,,
14,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,7,B4800/DINING TABLE,S-SDTSA14,SDTSA14,,SDTSA14,,,"MDF WITH VENEER, COATED IRON BASE",DINING TABLE - SDTSA14,,,L2000D1000H760MM,0.27/MOQ:10PCS,,,,,,,,,,238,1.5,,,,,,,,357,3.5,,,833,17%,975,2.5,2437,,,,2.2,2144,,1170,54.5%,,,,
15,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,7,C4800/DINING CHAIR,S-SDTSA14,SDTSA15,,SDTSA14,,,"PU, WOOD",DINING TABLE - SDTSA15,,,L500D590H490/870MM,0.362/MOQ:100PCS,,,,,,,,,,69,1.5,,,,,,,,103.5,3.5,,,242,17%,283,2.5,706,,,,2.2,622,,339,54.5%,,,,
16,פינות אוכל,SIDEBOARD,,,,,,,STEEL-ARTS,SA,,,,,7,K4805/SIDEBOARD,S-SDTSA14,SDTSA16,,SDTSA14,,,"VERNEER MDF, STAINLESS STEEL",SIDEBOARD - SDTSA16,,,L1800D450H800,0.7/MOQ:10PCS,,,,,,,,,,254,1.5,,,,,,,,381,3.5,,,889,17%,1040,2.5,2600,,,,2.2,2288,,1248,54.5%,,,,
17,פינות אוכל,SIDEBOARD,,,,,,,STEEL-ARTS,SA,,,,,7,K4805S/SIDEBOARD,S-SDTSA17,SDTSA17,,SDTSA17,,,MDF IN VENEER,SIDEBOARD - SDTSA17,,,1200*400*730,,,,,,,,,,,240,1.5,,,,,,,,360,3.5,,,840,17%,983,2.5,2457,,,,2.2,2162,,1179,54.5%,,,,
18,פינות אוכל,SHOW CASE,,,,,,,STEEL-ARTS,SA,,,,,7,S4805/SHOW CASE,S-SDTSA17,SDTSA18,1,SDTSA17,,,MDF,SHOW CASE - SDTSA18,,,500*250*320,,,,,,,,,,,66,1.5,,,,,,,,99,3.5,,,231,17%,270,2.5,676,,,,2.2,595,,324,54.5%,,,,
19,פינות אוכל,SHOW CASE,,,,,,,STEEL-ARTS,SA,,,,,7,S4805/SHOW CASE,S-SDTSA17,SDTSA18,2,SDTSA17,,,MDF,SHOW CASE - SDTSA18,,,1000*250*320,,,,,,,,,,,150,1.5,,,,,,,,225,3.5,,,525,17%,614,2.5,1536,,,,2.2,1351,,737,54.5%,,,,
20,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,8,B5809/DINING TABLE,S-SDTSA19,SDTSA19,,SDTSA19,,,"MARBLE, IRON COATING FRAME",DINING TABLE - SDTSA19,,,L2000D1000H760MM,0.27/MOQ:10PCS,,,,,,,,,,547,1.5,,,,,,,,820.5,3.5,,,1915,17%,2240,2.5,5600,,,,2.2,4928,,2688,54.5%,,,,
